,Number,Name,Position,Age,Height,Weight,Experience,College
8,38,De'Veon Smith,RB,23,5-11,221,2,Michigan
9,26,Damien Williams,RB,25,5-11,224,5,Oklahoma
10,88,Leonte Carroo,WR,24,6-1,215,3,Rutgers
11,15,Isaiah Ford,WR,22,6-2,195,2,Virginia Tech
12,19,Jakeem Grant,WR,25,5-7,169,3,Texas Tech
13,14,Jarvis Landry,WR,25,5-11,208,5,LSU
14,81,Drew Morgan,WR,23,6-0,187,1,Arkansas
15,11,DeVante Parker,WR,25,6-3,212,4,Louisville
16,87,Rashawn Scott,WR,26,6-0,199,2,Miami
17,10,Kenny Stills,WR,25,6-1,196,6,Oklahoma
18,85,A.J. Derby,TE,26,6-5,255,4,Arkansas
19,83,Thomas Duarte,TE,22,6-2,244,2,UCLA
20,80,Anthony Fasano,TE,33,6-4,258,13,Notre Dame
21,48,MarQueis Gray,TE,28,6-4,263,6,Minnesota
22,89,Julius Thomas,TE,29,6-5,262,8,Portland State
23,64,Jake Brendel,C,25,6-4,299,3,UCLA
24,51,Mike Pouncey,C,28,6-5,298,8,Florida
25,68,Isaac Asiata,G,25,6-3,341,2,Utah
26,74,Jermon Bushrod,G,33,6-5,318,12,Towson
27,62,Ted Larsen,G,30,6-3,320,9,NC State
28,65,Anthony Steen,G,27,6-4,320,3,Alabama
29,77,Jesse Davis,OT,26,6-6,321,2,Idaho
30,66,Sean Hickey,OT,26,6-6,306,1,Syracuse
31,70,Ja'Wuan James,OT,25,6-6,307,5,Tennessee
32,72,Eric Smith,OT,22,6-4,321,2,Virginia
33,71,Zach Sterup,OT,25,6-8,318,2,Nebraska
34,67,Laremy Tunsil,OT,23,6-5,318,3,Ole Miss
35,79,Sam Young,OT,30,6-8,306,9,Notre Dame
38,50,Andre Branch,DE,28,6-5,263,7,Clemson
39,78,Terrence Fede,DE,26,6-4,267,5,Marist
40,90,Charles Harris,DE,22,6-3,250,2,Missouri
41,95,William Hayes,DE,32,6-3,278,11,Winston-Salem
42,75,Cameron Malveaux,DE,23,6-5,276,1,Houston
43,91,Cameron Wake,DE,36,6-3,263,10,Penn State
44,96,Jonathan Woodard,DE,24,6-6,287,1,Central Arkansas
45,56,Davon Godchaux,DT,23,6-3,305,2,LSU
46,97,Jordan Phillips,DT,25,6-6,333,4,Oklahoma
47,93,Ndamukong Suh,DT,31,6-4,305,9,Nebraska
48,99,Vincent Taylor,DT,24,6-2,296,2,Oklahoma State
49,98,Gabe Wright,DT,25,6-3,305,3,Auburn
50,59,Chase Allen,LB,24,6-3,250,2,Southern Illinois
51,47,Kiko Alonso,LB,27,6-3,233,6,Oregon
52,44,Stephone Anthony,LB,25,6-3,245,4,Clemson
53,49,Lamin Barrow,LB,27,6-1,237,5,LSU
